name,category,Protein,Carbohydrates,Sugar,Fat,Sodium,nutrient_grade,allergen,nutrient_score,grade
Good Day Butter 600g - Britannia - 600 g,biscuits,6.8,69.5,19.0,11.0,0.615,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Patanjali cream feast ( milk vanilla ) - 84 g,biscuits,5.0,69.0,34.0,12.0,0.0,Ultra-processed foods,Allergens: Gluten,,
Fruit biscuits - Sangam,biscuits,6.0,52.0,19.0,11.0,0.012,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts",70.0,B
All Rounder - Sunfeast - 75g,biscuits,7.2,66.7,15.4,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nature-identical-flavouring-substances-contains-wheat, Milk, Soya-and-sulphites-10ontact-itc-cares",70.0,B
Jimjam 460g - Britannia - 460 g,biscuits,5.0,76.0,33.5,9.5,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
50-50 Maska Chaska - Britannia - 45.5g,biscuits,7.0,60.0,7.5,10.2,2.705,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites, Gluten",70.0,B
Lotte Choco Pie - 56g,biscuits,4.0,68.0,25.0,17.0,0.535,Average impact of products of the same category: B (Score: 70/100),"Allergens: Milk, Allergen-information-contains-wheat-gluten, Interesterified-polyols-may-have-laxative-effects-not-to-be-sold-loose, Milk-soya-glucose",70.0,B
50 50 Gol Maal - Britannia,biscuits,6.4,68.4,21.8,2.5,1.145,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Jimjam pops - Britannia - 350g,biscuits,5.0,79.2,31.6,0.0,0.49,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Oreo - Cadbury - 43.75 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans",52.0,C
McVitie's Digestive,biscuits,7.3,67.1,16.1,10.7,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Bourn Vita biscuits - Cadbury - 120g,biscuits,6.7,73.5,34.2,0.1,0.75,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Bournvita biscuit - Cadbury,biscuits,7.3,73.6,30.0,6.8,0.902,Not available,"Allergens: Gluten, Milk, Soybeans",,
hide & seek Milano choco filled cocoa rich biscuits - parle - 75g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans",57.0,C
"Sunfeast Dark Fantasy Bourbon, Classic Biscuit - 50g",biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans",57.0,C
glucose biscuits - Sunfeast - 96g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans",,
Butter Nankhatai - Amul,biscuits,6.5,63.0,27.3,16.0,0.375,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Oreo chocolatey sandwich biscuits - Cadbury,biscuits,5.0,71.4,38.0,9.8,1.05,Not available,"Allergens: Gluten, Milk",,
Burst - Bisk Farm,biscuits,6.31,74.28,37.02,0.21,0.345,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk",78.0,A
Parle 20-20 Nice - 150g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
5050 Golmaal Butter Garlic - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts",70.0,B
Threptin - 275 g,biscuits,30.0,48.0,30.0,7.0,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk,70.0,B
McVitie's Digestive,biscuits,7.3,67.1,16.1,10.7,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk,70.0,B
8906117364160,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Milk, Nuts, Soybeans",54.0,C
Parle G - 80g,biscuits,7.0,77.3,25.0,6.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts",70.0,B
Ginger Snap Cookies - Snackible - 70g,biscuits,5.8,64.3,32.7,15.6,0.549,Processed foods,Allergens: Gluten,,
PRAN Cheese Flavoured Biscuits,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,Allergens: Gluten,,
Muffills Choco Vanilla Flavoured - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 47/100),Allergens: Gluten,47.0,C
Digestive - McVitie's - 75g,biscuits,8.2,65.9,1.0,0.0,1.875,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Cricket Edition Oreo Original - Cadbury,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,Allergens: Gluten,,
Butter cookies - Big Mishra - 200g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: A (Score: 83/100),Allergens: Milk,83.0,A
Mini Cookie Cake - Pillsbury - 66 g,biscuits,4.2,67.0,0.0,7.4,1.09,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Real Elaichi Toasted Bread - Royal Toast - 400g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Good Day Cashew Cookies - Britannia - 200 g,biscuits,7.0,65.0,22.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts",70.0,B
milk bikies - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts",70.0,B
Chocolate Cookies - Amul - 50g,biscuits,5.4,59.3,29.1,0.9,0.625,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk",57.0,C
Perk - Cadbury - 14.3 g,biscuits,3.6,67.6,45.9,0.2,0.234,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk",78.0,A
4901219117120,biscuits,5.8,73.6,32.0,9.8,0.142,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk",57.0,C
Parle-G Original Gluco Biscuits - 150g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
butter crunch cookies,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
GoodDay Choco Chip - Britannia - 100 g,biscuits,5.0,71.0,30.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),Allergens: Gluten,57.0,C
Happy Happy Cakes Tutti Frutty Flavoured - Parle - 120 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: A (Score: 75/100),Allergens: Gluten,75.0,A
Karachi Biscuits Fruit Almond - Karachi Bakery - 400,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Treat Vanilla Creme - Britannia - 60 g,biscuits,5.2,71.7,38.4,0.0,1.01,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Milk Bikis - Britannia - 100g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Oats Marie Thinz - Unibic - 58 g,biscuits,9.4,74.3,21.0,0.0,0.862,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Britannia Marie Gold - 1 kg,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites",70.0,B
Bounce Choco Twist - Sunfeast - 82 g,biscuits,6.8,74.3,36.9,0.1,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts",57.0,C
Vegan Pistachio Millet Biscuit - Karachi Bakery - 300 g,biscuits,7.143,53.036,20.536,0.1,0.304,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans",70.0,B
Black Bourbon - Parle Platina - 300 g,biscuits,5.2,75.7,42.6,8.3,0.432,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans",70.0,B
Yummy Elaichi Flavoured Sandwich - Anmol - 100 g,biscuits,6.56,73.41,23.44,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Marie Gold - Britania - 45g,biscuits,8.3,77.5,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Yummy Orange Flavoured Sandwich - Anmol - 100g,biscuits,7.28,72.39,24.08,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Orange",70.0,B
Unibic - 150 g,biscuits,6.2,70.0,35.0,11.2,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Orange",70.0,B
Butter Bonn Biscuits,biscuits,7.2,74.3,26.5,9.46,0.87,Nutri-Score E,"Allergens: Gluten, Orange",,
Doodh Biscuits - Patanjali,biscuits,7.2,72.0,22.0,8.3,0.872,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Cinnamon & Brown Sugar Biscuits - LaVida - 126 g,biscuits,2.0,15.0,3.0,2.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Coconut Dreamz - DiamondR,biscuits,6.2,76.0,31.5,6.1,0.37,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
unibic choco nut - 75g,biscuits,6.8,64.0,28.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Sunfest Marie Light - Sunfeast - 1,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Ragi with oats biscuits - Vaidya's,biscuits,6.13,64.31,3.13,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Unibic Choco ripple biscuit - 100g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk",,
Bournvita biscuit - Cadbury - 120,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Creamy Wafer Biscuits - Pickwick,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Pistachio biscuit - Mario,biscuits,7.0,60.0,0.0,21.0,0.0,Not available,"Allergens: Gluten, Milk",,
Moms magic  50 - Sunfest,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Happy Happy Choco-Chip Cookies - Parle - 400 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk",67.0,B
20 20 butter cookies 200g - parle - 200,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Hide&Seek Black Bourbon - Parle - 300 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk",57.0,C
Jim jam Britannia biscuit - 68.5g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk",,
Pineapple cookies (sugar free) - UNIBIC,biscuits,4.2,66.0,0.5,25.1,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Lotte choco pie - 276g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk",,
Parle 20 20cashew biscuits - 604g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Biscuits,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk",,
Oreo Original - Cadbury - 500 g,biscuits,5.2,71.9,38.8,0.1,1.092,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",70.0,B
Doodh Biscuits,biscuits,7.4,68.8,20.4,9.0,0.0,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",,
CrèmeCups - Lávian Exotique,biscuits,4.07,63.91,24.63,0.1,0.347,Nutri-Score E,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",,
IKO SUGAR FREE PUMKIN BISCUITS,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",,
Tiger biscuit,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",,
nutri choice - Britannia - 75g,biscuits,8.0,68.0,68.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Glucose biscuit - Marino - 83.3g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk",,
Sunfeast Glucose Biscuits,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk",,
Sunfeast SUPER EGG & MILK,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Sunfeast Thin Arrowroot,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Patanjali nariyal,biscuits,3.31,66.85,19.0,11.17,0.225,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Biscuit,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",,
Shortbread - Unibic,biscuits,6.54,61.0,18.0,17.52,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Cashew biscuits - Milk Ma - 200g,biscuits,6.28,48.0,1.14,0.0,0.518,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts",70.0,B
Oreo Original chocolate sandwich biscuits - 46.3g,biscuits,5.2,71.9,38.8,9.7,0.0,Nutri-Score E,"Allergens: Gluten, Nuts",,
Milk-Ma Butter Cookies - 200g,biscuits,6.28,48.0,1.14,0.0,0.518,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Butterly Osmania Biscuits - Karachi Bakery - 300 g,biscuits,7.0,58.0,8.0,16.0,1.678,Processed foods,"Allergens: Gluten, Milk, Sesame seeds",,
Vanilla Muffin Small - Bliss Chocolates India Pvt. Ltd. - 2 pcs,biscuits,5.6,45.2,26.37,13.4,0.0,Nutri-Score D,"Allergens: Eggs, Gluten",,
Milk Cookies - Unibic - 500g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Eggs, Gluten",70.0,B
Fab Bourbon Biscuit - Parle - 150 gm,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Eggs, Gluten",,
Fruit mufflins - Ribbons & Balloons - 60g,biscuits,4.97,49.79,40.01,1.46,0.325,Nutri-Score E,"Allergens: Gluten, Milk",,
Chocopie - Cocoaland - 25g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk",57.0,C
creme 4 fun - dukes - 150g,biscuits,5.9,74.4,36.1,7.0,0.564,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
karachi's cashew biscuits - karachi bakery - 400 g,biscuits,0.0,0.0,0.0,0.0,0.0,Processed foods,"Allergens: Gluten, Milk, Nuts",,
Bournvita biscuit - Cadbury - 120,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Not available,70.0,B
Creamy Wafer Biscuits - Pickwick,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Not available,70.0,B
Pistachio biscuit - Mario,biscuits,7.0,60.0,0.0,21.0,0.0,Not available,Not available,,
Moms magic  50 - Sunfest,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Not available,70.0,B
Hide&Seek Black Bourbon - Parle - 300 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),Not available,57.0,C
Jim jam Britannia biscuit - 68.5g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
Pineapple cookies (sugar free) - UNIBIC,biscuits,4.2,66.0,0.5,25.1,0.0,Average impact of products of the same category: B (Score: 70/100),Not available,70.0,B
IKO SUGAR FREE PUMKIN BISCUITS,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
Glucose biscuit - Marino - 83.3g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
Sunfeast Glucose Biscuits,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
Sunfeast SUPER EGG & MILK,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Not available,70.0,B
Sunfeast Thin Arrowroot,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Not available,70.0,B
Oreo Original chocolate sandwich biscuits - 46.3g,biscuits,5.2,71.9,38.8,9.7,0.0,Nutri-Score E,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",,
Sunfeast Bounce Orange Creme - 62g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Milk Shakti - Parle - 75 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Sugar Free Almond Biscuit - Karachi Bakery,biscuits,3.7,56.8,0.0,4.68,0.0,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",,
City snacks CASHEW BISCUIT,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",,
unibic choco nut cookies -,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Sundar kaju biscuit 200g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",,
8901063012752,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
8906032018551,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Patanjali 7Grain Biscuit Digestive,biscuits,8.81,59.11,20.0,10.16,0.35,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Sulphur dioxide and sulphites",70.0,B
Redbull - Red Bull - 1,drinks,0.0,11.0,11.0,0.0,0.198,Nutri-Score E,Not available,,
Sting - 1,drinks,0.0,0.0,0.0,0.0,0.0,Nutri-Score E,Not available,,
Diet coke - The Coca-Cola Company - 500 ml,drinks,0.0,0.0,0.0,0.0,0.0,Nutri-Score C,Not available,,
Coca Cola Coke Brand 750ml - 5,drinks,0.0,11.0,11.0,0.0,0.0,Not available,Not available,,
Sprite 750ml - coca cola - 5,drinks,0.0,10.0,9.8,0.0,0.035,Nutri-Score E,Not available,,
Coca cola Soft Drink 750ml,drinks,0.0,10.9,10.6,0.0,0.021,Nutri-Score E,Not available,,
Sprite - 250 ml,drinks,0.0,12.2,11.7,0.0,0.025,Nutri-Score E,Not available,,
Thumbs Up 750ml - Coca Cola Company - 24,drinks,0.0,9.0,9.0,0.0,0.0,Nutri-Score E,Not available,,
Thums up - 250 ml,drinks,0.0,9.7,9.5,0.0,0.055,Nutri-Score E,Not available,,
Thumbs Up 750ml pet - Thumps up,drinks,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
Coca-Cola - The Coca-Cola Company - 250 ml,drinks,0.0,10.9,10.6,0.0,0.021,Nutri-Score E,Not available,,
Thums Up  (Coca-Cola),drinks,0.0,10.6,10.4,0.0,0.002,Nutri-Score E,Not available,,
Sprite - Coca Cola - 600 ml,drinks,0.0,10.0,9.8,0.0,0.035,Nutri-Score E,Not available,,
Mountain Dew - PepsiCo - 400 ml,drinks,0.0,12.3,12.3,0.0,0.02,Nutri-Score E,Not available,,
Sprite - 2.25l,drinks,0.0,10.0,9.8,0.0,0.035,Nutri-Score E,Not available,,
Sprite - 250,drinks,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
Fruit drink - Maaza - 135ml,drinks,0.0,11.0,10.7,0.0,0.022,Nutri-Score C,Not available,,
Sprite - Coca Cola - 750 ml,drinks,0.0,10.0,9.8,0.0,35.0,Nutri-Score E,Not available,,
Diet Coke Can 250ml - 4,drinks,0.0,0.0,0.0,0.0,0.021,Nutri-Score C,Not available,,
Pepsi - Pepsi Cola - 400ml,drinks,0.0,10.9,10.9,0.0,0.008,Processed foods,Not available,,
Lassi - Amul - 200mL,drinks,2.1,14.5,12.0,1.25,0.075,Average impact of products of the same category: D (Score: 38/100),Allergens: Milk,38.0,D
Thumsup - Coca-Cola - 1 litter,drinks,0.0,0.0,0.0,0.0,0.0,Unprocessed or minimally processed foods,Allergens: Milk,,
Lahori Zeera - 160 ml,drinks,0.2,11.8,11.8,0.0,0.434,Nutri-Score E,Allergens: Milk,,
Limca - Pepsi - 100 ml,drinks,0.0,0.0,0.0,0.0,0.0,Ultra-processed foods,Allergens: Milk,,
Diet coke - Coca-Cola - 300 ml,drinks,0.0,0.0,0.0,0.0,0.0,Not available,Allergens: Milk,,
Frooti mango drink - 75,drinks,0.0,0.0,0.0,0.0,0.0,Ultra-processed foods,Allergens: Milk,,
Limca lime lemon drink 750ml - Coca-Cola - 132,drinks,0.0,11.1,10.7,0.0,0.0,Nutri-Score E,Allergens: Milk,,
Coca-Cola - Coke - 1L,drinks,0.0,0.0,0.0,0.0,0.0,Ultra-processed foods,Allergens: Milk,,
appy fizz - parle agro appy fizz - 250ml,drinks,0.0,12.95,12.9,0.0,0.053,Average impact of products of the same category: B (Score: 74/100),Allergens: Milk,74.0,B
Fanta - St-Hubert,drinks,0.0,14.0,13.7,0.0,0.0,Not available,Allergens: Milk,,
Pepsi Drink 750ml - The Coca-Cola Company - 11,drinks,0.0,0.0,0.0,0.0,0.0,Ultra-processed foods,Allergens: Milk,,
Amul Lassi 180ml tpk - 250 ml,drinks,2.0,14.0,14.0,1.2,0.065,Average impact of products of the same category: D (Score: 37/100),Allergens: Milk,37.0,D
Coca cola zero sugar 300ml - 16,drinks,0.0,0.0,0.0,0.0,0.008,Nutri-Score C,Allergens: Milk,,
Coke Brand Coca Cola 2ltr - 18,drinks,0.0,10.156,10.156,0.0,0.0,Not available,Allergens: Milk,,
Pepsi Brand Drink 2.25 l - Pepsico - 54,drinks,0.0,0.0,0.0,0.0,0.0,Not available,Allergens: Milk,,
Pepsi black - 500ml,drinks,0.0,0.0,0.0,0.0,0.015,Nutri-Score C,Allergens: Milk,,
Frooti mango drink - 1,drinks,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: D (Score: 41/100),Allergens: Milk,41.0,D
Mountain Dew - PepsiCo - 250 ml,drinks,0.0,12.3,12.3,0.0,0.02,Nutri-Score E,Allergens: Milk,,
Thumsup - Cola - 600ml,drinks,0.0,9.7,9.5,0.0,0.055,Nutri-Score E,Allergens: Milk,,
8902579001599,drinks,0.0,0.0,0.0,0.0,0.0,Not available,Allergens: Milk,,
Soda - Bisleri - 750 ml,drinks,0.0,0.0,0.0,0.0,0.002,Nutri-Score B,Allergens: Milk,,
DRINK,drinks,0.0,15.5,14.0,0.0,0.045,Green-Score E,Allergens: Milk,,
Appy fizz - Parle,drinks,0.0,12.95,12.9,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk,70.0,B
Fanta Orange Flv 750ml - The Coca-cola company - 24,drinks,0.0,13.0,13.0,0.0,0.0,Nutri-Score E,Allergens: Milk,,
7up Super Duper 750ml - PepsiCo - 16,drinks,0.0,11.7,11.7,0.0,0.045,Not available,Allergens: Milk,,
Amul Kool Premium Kesar Flavour - 180ml,drinks,5.6,22.5,14.0,3.5,0.195,Nutri-Score E,Allergens: Milk,,
limca - coco-cola - 500ml,drinks,0.0,0.0,0.0,0.0,0.0,Nutri-Score E,Allergens: Milk,,
7up 2.25 - 99,drinks,0.0,11.7,11.7,0.0,0.045,Nutri-Score E,Allergens: Milk,,
Thums Up - Coca-Cola - 1.25 l,drinks,0.0,9.7,9.5,0.0,0.055,Nutri-Score E,Allergens: Milk,,
Coca Cola,drinks,0.0,11.0,11.0,0.0,0.0,Not available,Allergens: Milk,,
Coca Cola,drinks,0.0,11.0,11.0,0.0,0.0,Not available,Not available,,
Pepsi Cola 250ml Can - Pepsico - 12,drinks,0.0,0.0,0.0,0.0,0.0,Ultra-processed foods,Not available,,
Thums Up - Coca-Cola - 1.25 l,drinks,0.0,9.7,9.5,0.0,0.055,Nutri-Score E,Not available,,
Ocean Fruit drink Mango & Passion fruit Flv 500ml - 2,drinks,0.5,10.0,10.0,0.0,0.0,Not available,Not available,,
Ocean Fruit drink Peach passion fruit flavour 500ml - 5,drinks,0.0,0.0,0.0,0.0,0.0,Not available,Not available,,
Nimbooz - 7up - 350ml,drinks,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 56/100),Not available,56.0,C
SMOODH CHOCLATE FLAVORED MILK - 150 ML,drinks,2.3,14.6,7.0,1.2,0.17,Nutri-Score E,Allergens: Milk,,
Monster Energy Drink 350ml - 5,drinks,0.0,12.0,11.1,0.0,0.193,Nutri-Score E,Allergens: Milk,,
Glucon-D Regular - 125 g,drinks,0.0,90.0,0.0,0.0,0.0,Nutri-Score not-applicable,Allergens: Milk,,
Frooti mango drink - parle Agro - 150ml,drinks,0.0,16.2,15.5,0.0,0.05,Average impact of products of the same category: B (Score: 64/100),Allergens: Milk,64.0,B
Yakult - 65ml,drinks,0.8,11.5,10.5,0.0,0.0,Average impact of products of the same category: D (Score: 38/100),Allergens: Milk,38.0,D
Pepsi Brand Mirinda orange flv 2ltr - Pepsico - 18,drinks,0.0,13.8,13.8,0.0,0.015,Nutri-Score E,Allergens: Milk,,
Sprite Lemon Lime flv Coke Brand 2ltr - कोका कोला क - 9,drinks,0.0,12.2,11.7,0.0,25.65,Ultra-processed foods,Allergens: Milk,,
