name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Jimjam pops - Britannia - 350g,biscuits,5 g,79.2 g,31.6 g,0 g,?,0.49 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Oreo - Cadbury - 43.75 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans"
McVitie's Digestive,biscuits,7.3 g,67.1 g,16.1 g,10.7 g,?,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Bourn Vita biscuits - Cadbury - 120g,biscuits,6.7 g,73.5 g,34.2 g,0.1 g,?,0.75 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Bournvita biscuit - Cadbury,biscuits,7.3 g,73.6 g,30 g,6.8 g,?,0.902 g,Not available,"Allergens: Gluten, Milk, Soybeans"
Mcvities Butter Cookie 68 GR. - 68 g,biscuits,7.7 g,68.9 g,24.9 g,1.8 g,?,0.75 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
hide & seek Milano choco filled cocoa rich biscuits - parle - 75g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
"Sunfeast Dark Fantasy Bourbon, Classic Biscuit - 50g",biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
glucose biscuits - Sunfeast - 96g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans"
Butter Nankhatai - Amul,biscuits,6.5 g,63 g,27.3 g,16 g,?,0.375 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Oreo chocolatey sandwich biscuits - Cadbury,biscuits,5 g,71.4 g,38 g,9.8 g,0 g,1.05 g,Not available,"Allergens: Gluten, Milk"
Burst - Bisk Farm,biscuits,6.31 g,74.28 g,37.02 g,0.21 g,?,0.345 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk"
Parle 20-20 Nice - 150g,biscuits,?,?,Not available,?,?,?,Not available,Not available
Good Day Butter 600g - Britannia - 600 g,biscuits,6.8 g,69.5 g,19 g,11 g,0 g,0.615 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Patanjali cream feast ( milk vanilla ) - 84 g,biscuits,5 g,69 g,34 g,12 g,3.6 g,?,Ultra-processed foods,Allergens: Gluten
Fruit biscuits - Sangam,biscuits,6 g,52 g,19 g,11 g,5 g,0.012 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
5050 Golmaal Butter Garlic - Britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
All Rounder - Sunfeast - 75g,biscuits,7.2 g,66.7 g,15.4 g,0 g,0 g,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nature-identical-flavouring-substances-contains-wheat, Milk, Soya-and-sulphites-10ontact-itc-cares"
Jimjam 460g - Britannia - 460 g,biscuits,5 g,76 g,33.5 g,9.5 g,0 g,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
50-50 Maska Chaska - Britannia - 45.5g,biscuits,7 g,60 g,7.5 g,10.2 g,0 g,2.705 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites, Gluten"
Lotte Choco Pie - 56g,biscuits,4 g,68 g,25 g,17 g,0 g,0.535 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Milk, Allergen-information-contains-wheat-gluten, Interesterified-polyols-may-have-laxative-effects-not-to-be-sold-loose, Milk-soya-glucose"
50 50 Gol Maal - Britannia,biscuits,6.4 g,68.4 g,21.8 g,2.5 g,0 g,1.145 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Jimjam pops - Britannia - 350g,biscuits,5 g,79.2 g,31.6 g,0 g,?,0.49 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Threptin - 275 g,biscuits,30 g,48 g,30 g,7 g,-,-,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk
McVitie's Digestive,biscuits,7.3 g,67.1 g,16.1 g,10.7 g,?,0 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk
Bourn Vita biscuits - Cadbury - 120g,biscuits,6.7 g,73.5 g,34.2 g,0.1 g,?,0.75 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
hide & seek Milano choco filled cocoa rich biscuits - parle - 75g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
"Sunfeast Dark Fantasy Bourbon, Classic Biscuit - 50g",biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
glucose biscuits - Sunfeast - 96g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans"
8906117364160,biscuits,,,Not available,,,,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Butter Nankhatai - Amul,biscuits,6.5 g,63 g,27.3 g,16 g,?,0.375 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Oreo chocolatey sandwich biscuits - Cadbury,biscuits,5 g,71.4 g,38 g,9.8 g,0 g,1.05 g,Not available,"Allergens: Gluten, Milk"
Googly biscuit - BISK FARM - 10 biscuits & 35 gram,biscuits,6.23 g,68.33 g,19.4 g,13.65 g,?,0.455 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Magix - Parle - 40.86 g,biscuits,7 g,72.6 g,25.8 g,< 0.018 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
Parle G - 80g,biscuits,7 g,77.3 g,25 g,6 g,?,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
Burst - Bisk Farm,biscuits,6.31 g,74.28 g,37.02 g,0.21 g,?,0.345 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk"
Ginger Snap Cookies - Snackible - 70g,biscuits,5.8 g,64.3 g,32.7 g,15.6 g,4.34 g,0.549 g,Processed foods,Allergens: Gluten
PRAN Cheese Flavoured Biscuits,biscuits,?,?,Not available,?,?,?,Not available,Allergens: Gluten
Muffills Choco Vanilla Flavoured - Britannia,biscuits,,,Not available,,,,Average impact of products of the same category: C (Score: 47/100),Allergens: Gluten
Digestive - McVitie's - 75g,biscuits,8.2 g,65.9 g,1 g,0 g,10 g,1.875 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Cricket Edition Oreo Original - Cadbury,biscuits,?,?,Not available,?,?,?,Not available,Allergens: Gluten
Butter cookies - Big Mishra - 200g,biscuits,,,,,,,Average impact of products of the same category: A (Score: 83/100),Allergens: Milk
Mini Cookie Cake - Pillsbury - 66 g,biscuits,4.2 g,67 g,Not available,7.4 g,?,1.09 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Real Elaichi Toasted Bread - Royal Toast - 400g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Good Day Cashew Cookies - Britannia - 200 g,biscuits,7 g,65 g,22 g,0 g,0 g,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
milk bikies - Britannia,biscuits,+4%,+19%,+15%,-100%,-100%,-100%,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
Chocolate Cookies - Amul - 50g,biscuits,5.4 g,59.3 g,29.1 g,0.9 g,?,0.625 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Perk - Cadbury - 14.3 g,biscuits,3.6 g,67.6 g,45.9 g,0.2 g,1.8 g,0.234 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk"
4901219117120,biscuits,5.8 g,73.6 g,32 g,9.8 g,?,0.142 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Parle-G Original Gluco Biscuits - 150g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
butter crunch cookies,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
GoodDay Choco Chip - Britannia - 100 g,biscuits,5 g,71 g,30 g,0 g,?,?,Average impact of products of the same category: C (Score: 57/100),Allergens: Gluten
Happy Happy Cakes Tutti Frutty Flavoured - Parle - 120 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 75/100),Allergens: Gluten
Karachi Biscuits Fruit Almond - Karachi Bakery - 400,biscuits,-9%,-24%,-27%,+12%,+63%,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Parle-G Original Gluco Biscuits - 800 g,biscuits,6.9 g,77.3 g,25.5 g,6 g,?,0.752 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Treat Vanilla Creme - Britannia - 60 g,biscuits,5.2 g,71.7 g,38.4 g,0 g,?,1.01 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Milk Bikis - Britannia - 100g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Oats Marie Thinz - Unibic - 58 g,biscuits,9.4 g,74.3 g,21 g,0 g,7.7 g,0.862 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Britannia Marie Gold - 1 kg,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites"
Bounce Choco Twist - Sunfeast - 82 g,biscuits,6.8 g,74.3 g,36.9 g,0.1 g,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts"
Vegan Pistachio Millet Biscuit - Karachi Bakery - 300 g,biscuits,7.143 g,53.036 g,20.536 g,0.1 g,8.929 g,0.304 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans"
Black Bourbon - Parle Platina - 300 g,biscuits,5.2 g,75.7 g,42.6 g,8.3 g,?,0.432 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans"
Yummy Elaichi Flavoured Sandwich - Anmol - 100 g,biscuits,6.56 g,73.41 g,23.44 g,0 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Marie Gold - Britania - 45g,biscuits,8.3 g,77.5 g,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Yummy Orange Flavoured Sandwich - Anmol - 100g,biscuits,7.28 g,72.39 g,24.08 g,0 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Orange"
Unibic - 150 g,biscuits,6.2 g,70 g,35 g,11.2 g,?,-,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Orange"
Butter Bonn Biscuits,biscuits,7.2 g,74.3 g,26.5 g,9.46 g,0.9 g,0.87 g,Nutri-Score E,"Allergens: Gluten, Orange"
Doodh Biscuits - Patanjali,biscuits,7.2 g,72 g,22 g,8.3 g,6 g,0.872 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Cinnamon & Brown Sugar Biscuits - LaVida - 126 g,biscuits,2 g,15 g,3 g,2 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Coconut Dreamz - DiamondR,biscuits,6.2 g,76 g,31.5 g,6.1 g,0 g,0.37 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
unibic choco nut - 75g,biscuits,6.8 g,64 g,28 g,0 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Sunfest Marie Light - Sunfeast - 1,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Ragi with oats biscuits - Vaidya's,biscuits,6.13 g,64.31 g,3.13 g,0 g,6.86 g,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Unibic Choco ripple biscuit - 100g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Bournvita biscuit - Cadbury - 120,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Creamy Wafer Biscuits - Pickwick,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Pistachio biscuit - Mario,biscuits,7 g,60 g,Not available,21 g,?,?,Not available,"Allergens: Gluten, Milk"
Moms magic  50 - Sunfest,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Happy Happy Choco-Chip Cookies - Parle - 400 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk"
20 20 butter cookies 200g - parle - 200,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Hide&Seek Black Bourbon - Parle - 300 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Jim jam Britannia biscuit - 68.5g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Pineapple cookies (sugar free) - UNIBIC,biscuits,4.2 g,66 g,0.5 g,25.1 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Lotte choco pie - 276g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Parle 20 20cashew biscuits - 604g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Biscuits,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Oreo Original - Cadbury - 500 g,biscuits,5.2 g,71.9 g,38.8 g,0.1 g,?,1.092 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Doodh Biscuits,biscuits,7.4 g,68.8 g,20.4 g,9 g,6 g,0 g,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
CrèmeCups - Lávian Exotique,biscuits,4.07 g,63.91 g,24.63 g,0.1 g,?,0.347 g,Nutri-Score E,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
IKO SUGAR FREE PUMKIN BISCUITS,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Tiger biscuit,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
nutri choice - Britannia - 75g,biscuits,8 g,68 g,68 g,0 g,14.5 g,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Glucose biscuit - Marino - 83.3g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Sunfeast Glucose Biscuits,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Sunfeast SUPER EGG & MILK,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Sunfeast Thin Arrowroot,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Sunfeast Thin Arrowroot,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Patanjali nariyal,biscuits,3.31 g,66.85 g,19 g,11.17 g,4.23 g,0.225 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Biscuit,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Shortbread - Unibic,biscuits,6.54 g,61 g,18 g,17.52 g,-,-,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Cashew biscuits - Milk Ma - 200g,biscuits,6.28 g,48 g,1.14 g,0 g,1.42 g,0.518 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts"
Oreo Original chocolate sandwich biscuits - 46.3g,biscuits,5.2 g,71.9 g,38.8 g,9.7 g,0 g,"1,050 g",Nutri-Score E,"Allergens: Gluten, Nuts"
Milk-Ma Butter Cookies - 200g,biscuits,6.28 g,48 g,1.14 g,0 g,1.42 g,0.518 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Butterly Osmania Biscuits - Karachi Bakery - 300 g,biscuits,7 g,58 g,8 g,16 g,6 g,1.678 g,Processed foods,"Allergens: Gluten, Milk, Sesame seeds"
Vanilla Muffin Small - Bliss Chocolates India Pvt. Ltd. - 2 pcs,biscuits,5.6 g,45.2 g,26.37 g,13.4 g,7.5 g,0 g,Nutri-Score D,"Allergens: Eggs, Gluten"
Milk Cookies - Unibic - 500g,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Eggs, Gluten"
Fab Bourbon Biscuit - Parle - 150 gm,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Eggs, Gluten"
Fruit mufflins - Ribbons & Balloons - 60g,biscuits,4.97 g,49.79 g,40.01 g,1.46 g,?,0.325 g,Nutri-Score E,"Allergens: Gluten, Milk"
Chocopie - Cocoaland - 25g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
creme 4 fun - dukes - 150g,biscuits,5.9 g,74.4 g,36.1 g,7 g,0 g,0.564 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
karachi's cashew biscuits - karachi bakery - 400 g,biscuits,?,?,Not available,?,?,?,Processed foods,"Allergens: Gluten, Milk, Nuts"
Bournvita biscuit - Cadbury - 120,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
Creamy Wafer Biscuits - Pickwick,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
Pistachio biscuit - Mario,biscuits,7 g,60 g,Not available,21 g,?,?,Not available,Not available
Moms magic  50 - Sunfest,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
Hide&Seek Black Bourbon - Parle - 300 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),Not available
Jim jam Britannia biscuit - 68.5g,biscuits,?,?,Not available,?,?,?,Not available,Not available
Pineapple cookies (sugar free) - UNIBIC,biscuits,4.2 g,66 g,0.5 g,25.1 g,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
IKO SUGAR FREE PUMKIN BISCUITS,biscuits,?,?,Not available,?,?,?,Not available,Not available
Glucose biscuit - Marino - 83.3g,biscuits,?,?,Not available,?,?,?,Not available,Not available
Sunfeast Glucose Biscuits,biscuits,?,?,Not available,?,?,?,Not available,Not available
Sunfeast SUPER EGG & MILK,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
Sunfeast Thin Arrowroot,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
Sunfeast Thin Arrowroot,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Not available
Patanjali nariyal,biscuits,3.31 g,66.85 g,19 g,11.17 g,4.23 g,0.225 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Biscuit,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Oreo Original chocolate sandwich biscuits - 46.3g,biscuits,5.2 g,71.9 g,38.8 g,9.7 g,0 g,"1,050 g",Nutri-Score E,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Sunfeast Bounce Orange Creme - 62g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Milk Shakti - Parle - 75 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Sugar Free Almond Biscuit - Karachi Bakery,biscuits,3.7 g,56.8 g,0 g,4.68 g,6.2 g,?,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
City snacks CASHEW BISCUIT,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
unibic choco nut cookies -,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Sundar kaju biscuit 200g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
8901063012752,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
8906032018551,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Patanjali 7Grain Biscuit Digestive,biscuits,8.81 g,59.11 g,20 g,10.16 g,6.32 g,0.35 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Sulphur dioxide and sulphites"
Redbull - Red Bull - 1,drinks,0 g,11 g,11 g,0 g,?,0.198 g,Nutri-Score E,Not available
Sting - 1,drinks,-100%,-65%,-27%,,,-26%,Nutri-Score E,Not available
Diet coke - The Coca-Cola Company - 500 ml,drinks,0 g,0 g,0 g,0 g,0 g,0 g,Nutri-Score C,Not available
Coca Cola Coke Brand 750ml - 5,drinks,0 g,11 g,11 g,0 g,?,?,Not available,Not available
Sprite 750ml - coca cola - 5,drinks,0 g,10 g,9.8 g,0 g,0 g,0.035 g,Nutri-Score E,Not available
Coca cola Soft Drink 750ml,drinks,0 g,10.9 g,10.6 g,0 g,?,0.021 g,Nutri-Score E,Not available
Sprite - 250 ml,drinks,0 g,12.2 g,11.7 g,0 g,?,0.025 g,Nutri-Score E,Not available
Thumbs Up 750ml - Coca Cola Company - 24,drinks,0 g,9 g,9 g,0 g,?,0 g,Nutri-Score E,Not available
Thums up - 250 ml,drinks,0 g,9.7 g,9.5 g,0 g,0 g,0.055 g,Nutri-Score E,Not available
Thumbs Up 750ml pet - Thumps up,drinks,?,?,Not available,?,?,?,Not available,Not available
Coca-Cola - The Coca-Cola Company - 250 ml,drinks,0 g,10.9 g,10.6 g,0 g,0 g,0.021 g,Nutri-Score E,Not available
Thums Up  (Coca-Cola),drinks,0 g,10.6 g,10.4 g,0 g,0 g,0.002 g,Nutri-Score E,Not available
Sprite - Coca Cola - 600 ml,drinks,0 g,10 g,9.8 g,-,-,0.035 g,Nutri-Score E,Not available
Mountain Dew - PepsiCo - 400 ml,drinks,0 g,12.3 g,12.3 g,0 g,?,0.02 g,Nutri-Score E,Not available
Sprite - 2.25l,drinks,0 g,10 g,9.8 g,0 g,?,0.035 g,Nutri-Score E,Not available
Sprite - 250,drinks,?,?,Not available,?,?,?,Not available,Not available
Fruit drink - Maaza - 135ml,drinks,0 g,11 g,10.7 g,0 g,?,0.022 g,Nutri-Score C,Not available
Sprite - Coca Cola - 750 ml,drinks,0 g,10 g,9.8 g,0 g,0 g,35 g,Nutri-Score E,Not available
Diet Coke Can 250ml - 4,drinks,0 g,0 g,0 g,0 g,0 g,0.021 g,Nutri-Score C,Not available
Pepsi - Pepsi Cola - 400ml,drinks,0 g,10.9 g,10.9 g,0 g,?,0.008 g,Processed foods,Not available
Lassi - Amul - 200mL,drinks,2.1 g,14.5 g,12 g,1.25 g,?,0.075 g,Average impact of products of the same category: D (Score: 38/100),Allergens: Milk
Thumsup - Coca-Cola - 1 litter,drinks,?,?,Not available,?,?,?,Unprocessed or minimally processed foods,Allergens: Milk
Lahori Zeera - 160 ml,drinks,0.2 g,11.8 g,11.8 g,0 g,0 g,0.434 g,Nutri-Score E,Allergens: Milk
Limca - Pepsi - 100 ml,drinks,?,?,Not available,?,?,?,Ultra-processed foods,Allergens: Milk
Diet coke - Coca-Cola - 300 ml,drinks,?,?,Not available,?,?,?,Not available,Allergens: Milk
Frooti mango drink - 75,drinks,Not available,Not available,Not available,Not available,Not available,Not available,Ultra-processed foods,Allergens: Milk
Limca lime lemon drink 750ml - Coca-Cola - 132,drinks,0 g,11.1 g,10.7 g,0 g,0 g,0 g,Nutri-Score E,Allergens: Milk
Coca-Cola - Coke - 1L,drinks,,,Not available,,,,Ultra-processed foods,Allergens: Milk
appy fizz - parle agro appy fizz - 250ml,drinks,0 g,12.95 g,12.9 g,0 g,?,0.053 g,Average impact of products of the same category: B (Score: 74/100),Allergens: Milk
Fanta - St-Hubert,drinks,0 g,14 g,13.7 g,0 g,0 g,?,Not available,Allergens: Milk
Pepsi Drink 750ml - The Coca-Cola Company - 11,drinks,?,?,Not available,?,?,?,Ultra-processed foods,Allergens: Milk
Amul Lassi 180ml tpk - 250 ml,drinks,2 g,14 g,14 g,1.2 g,?,0.065 g,Average impact of products of the same category: D (Score: 37/100),Allergens: Milk
Coca cola zero sugar 300ml - 16,drinks,0 g,0 g,0 g,0 g,0 g,0.008 g,Nutri-Score C,Allergens: Milk
Coke Brand Coca Cola 2ltr - 18,drinks,0 g,10.156 g,10.156 g,0 g,0 g,?,Not available,Allergens: Milk
Pepsi Brand Drink 2.25 l - Pepsico - 54,drinks,?,?,Not available,?,?,?,Not available,Allergens: Milk
Pepsi black - 500ml,drinks,0 g,0 g,0 g,0 g,?,0.015 g,Nutri-Score C,Allergens: Milk
Frooti mango drink - 1,drinks,?,?,Not available,?,?,?,Average impact of products of the same category: D (Score: 41/100),Allergens: Milk
Mountain Dew - PepsiCo - 250 ml,drinks,0 g,12.3 g,12.3 g,0 g,0 g,0.02 g,Nutri-Score E,Allergens: Milk
Thumsup - Cola - 600ml,drinks,0 g,9.7 g,9.5 g,0 g,0 g,0.055 g,Nutri-Score E,Allergens: Milk
8902579001599,drinks,?,?,Not available,?,?,?,Not available,Allergens: Milk
Soda - Bisleri - 750 ml,drinks,0 g,0 g,0 g,0 g,0 g,0.002 g,Nutri-Score B,Allergens: Milk
DRINK,drinks,0 g,15.5 g,14 g,0 g,?,0.045 g,Green-Score E,Allergens: Milk
Appy fizz - Parle,drinks,0 g,12.95 g,12.9 g,0 g,0 g,0 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk
Fanta Orange Flv 750ml - The Coca-cola company - 24,drinks,0 g,13 g,13 g,0 g,0 g,0 g,Nutri-Score E,Allergens: Milk
7up Super Duper 750ml - PepsiCo - 16,drinks,0 g,11.7 g,11.7 g,0 g,?,0.045 g,Not available,Allergens: Milk
Amul Kool Premium Kesar Flavour - 180ml,drinks,5.6 g,22.5 g,14 g,3.5 g,-,0.195 g,Nutri-Score E,Allergens: Milk
