name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Chocolate Granola - Fitness - 300 g,chocolates,9 g,62.7 g,17.9 g,3 g,7.6 g,0.2 g,Nutri-Score C,Allergens: Gluten
Milka - MMMAX - Noisettes Entières - 270 g,chocolates,7.9 g,48 g,47 g,16 g,3.5 g,0.23 g,Green-Score D,"Allergens: Milk, Nuts, Soybeans"
PANDORINO - Dulcesol,chocolates,5.5 g,49 g,26 g,10 g,2.5 g,0.5 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Cacahuetes Chocolate Negro - Hacendado - 250g,chocolates,14 g,41 g,39 g,7.1 g,7.4 g,0 g,Nutri-Score D,"Allergens: Peanuts, Soybeans"
Milka Oreo - 300 g,chocolates,5.4 g,56 g,47.5 g,18.5 g,1.5 g,0.6 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Wafers chocolate 0% azúcares - Florbú - 160 g,chocolates,1.48 g,15 g,0.25 g,3.25 g,1.15 g,0.03 g,Average impact of products of the same category: A (Score: 78/100),Allergens: Gluten
Chocolate 0% azúcares añadidos - Hacendado - 125 g,chocolates,9 g,47 g,11 g,19 g,9 g,0.3 g,Nutri-Score D,"Allergens: Milk, Nuts, Milk"
Les P'tits CURIEUX barres cookies choco noisettes - Bjorg - 140g (8 barres),chocolates,7.2 g,58 g,23 g,5.4 g,4.8 g,0.29 g,Green-Score B,"Allergens: Eggs, Gluten, Milk, Nuts"
Barquillos chocolate zero azúcares - Gullón - 180 g,chocolates,4.4 g,68 g,< 0.5 g,13 g,3.4 g,0.15 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Soybeans"
Chocolate protein pudding - Lindahls - 140 g,chocolates,10 g,7.36 g,4.64 g,0.214 g,?,0.134 g,Nutri-Score A,Allergens: Milk
Nesquik - Nestlé - 700g,chocolates,5.1 g,78.9 g,75.1 g,1.6 g,7.7 g,0.41 g,Green-Score A,Allergens: Soybeans
Müller Corner Yoghurt Banana Chocolate Flakes - 124 g,chocolates,5 g,18.5 g,15.9 g,2.5 g,?,0.218 g,Average impact of products of the same category: A (Score: 84/100),"Allergens: Gluten, Milk, Soybeans"
Nocciolata - Rigoni di Asiago - 650g,chocolates,-16%,+6%,+13%,-25%,+26%,-100%,Green-Score B,"Allergens: Nuts, Soybeans"
Chocoladehagel puur - de Ruijter - 20 gram,chocolates,5 g,67 g,64 g,8.8 g,?,0.02 g,Nutri-Score E,"Allergens: Milk, Soybeans"
Crunchy muesly chocolate - Holie - 400 gram,chocolates,11 g,50 g,2 g,3.9 g,21.6 g,0.01 g,Nutri-Score A,Allergens: Gluten
Barritas de chocolate blanco - Hacendado - 127 g (6),chocolates,5.1 g,61 g,25 g,10 g,9.3 g,0.52 g,Nutri-Score D,"Allergens: Gluten, Milk, Soybeans"
Chocolate Negro 55% - Hacendado - 150g,chocolates,5.5 g,47 g,44 g,22 g,7.6 g,0.01 g,Green-Score E,Allergens: Soybeans
Snickers - Mars - 41.7 g,chocolates,9.11 g,57.6 g,48 g,8.42 g,?,0.531 g,Nutri-Score E,"Allergens: Eggs, Milk, Peanuts, Soybeans"
Orange Dark Chocolate - Tesco - 100g,chocolates,7 g,52.6 g,48.4 g,18 g,8.3 g,0.01 g,Green-Score D,"Allergens: Eggs, Milk, Peanuts, Soybeans"
Mint Dark Chocolate - Tesco Finest - 100g,chocolates,7 g,52 g,49 g,19 g,9 g,0.1 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Eggs, Milk, Peanuts, Soybeans"
Dark Chocolate Corn Thins 4 x (130g) - Sainsbury's,chocolates,7 g,67.7 g,12 g,5.6 g,4 g,0.37 g,Nutri-Score D,"Allergens: Milk, Soybeans"
Pure butter shortbread - Walkers - 125g,chocolates,5.2 g,61.3 g,7 g,0 g,0 g,0.7 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Nutella - Ferrero Canada - 725 g,chocolates,1 g,12 g,11 g,2 g,1 g,?,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Hazelnut spread with cocoa - Kirkland Signature - 1 kg,chocolates,-22%,+6%,+17%,-32%,+31%,+19%,Green-Score C,Allergens: Nuts
Energy Bar (Chocolate Chip) - Clif Bar - 2.40 oz (68 g),chocolates,14.7 g,63.2 g,23.5 g,0 g,7.35 g,0.478 g,Nutri-Score D,"Allergens: Gluten, Soybeans"
Chocolate paradise milk powder - Bellarom - 800g,chocolates,5.4 g,79.3 g,76.1 g,1.7 g,7.5 g,0.77 g,Green-Score C,"Allergens: Gluten, Soybeans"
Gingerbread Hearts Dark Chocolate - Aachener Zucker und Backwaren Paul Schaeffer - 300g,chocolates,4.3 g,66 g,40 g,4.7 g,3.6 g,0.25 g,Average impact of products of the same category: A (Score: 86/100),"Allergens: Gluten, Soybeans"
Caramel et biscuit - Krüger - 58g,chocolates,5 g,62.2 g,41.8 g,14.3 g,?,0.67 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Brownie à la Française Chocolat 🍫 - St Michel - 240g ℮,chocolates,5 g,49 g,33 g,7 g,2.1 g,0.25 g,Green-Score D,"Allergens: Eggs, Gluten, Milk, Soybeans"
"Kellogs, Hafer-Müsli, Schoko und Keks - Kölln - 500g",chocolates,10 g,65 g,21 g,6.3 g,5.6 g,0.22 g,Green-Score A,"Allergens: Gluten, Milk"
Kinder Chocolate - Ferrero - 150 g,chocolates,8.7 g,53.5 g,53.3 g,22.6 g,?,0.313 g,Average impact of products of the same category: C (Score: 54/100),"Allergens: Milk, Soybeans"
Sante Crunchy Crispy Muesli Banana With Chocolate 350G - 350 g,chocolates,-25%,+13%,+65%,+96%,-23%,+81%,Average impact of products of the same category: A (Score: 82/100),"Allergens: Gluten, Milk, Peanuts, Soybeans"
Kitkat - Nestlé - 48,chocolates,7 g,62.3 g,49.4 g,13.5 g,2.3 g,0.22 g,Average impact of products of the same category: C (Score: 53/100),"Allergens: Gluten, Milk, Soybeans"
Netsle Chocolat noir 100% cacao - Nestlé - 125 g,chocolates,6.2 g,55.2 g,50.7 g,17.6 g,7.5 g,0 g,Green-Score D,"Allergens: Gluten, Milk, Soybeans"
Choco Wafer - Milka - 180 g,chocolates,5.6 g,60 g,47 g,17 g,1.3 g,0.29 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans"
Milka mlecna Alpin - 100 g,chocolates,6.5 g,57 g,55 g,19 g,2.3 g,0.28 g,Green-Score D,"Allergens: Milk, Soybeans"
PROfeel Protein pudding Chocolate flavour - Valio - 180 g,chocolates,11 g,6.2 g,4.6 g,0.9 g,?,0.198 g,Nutri-Score A,Allergens: Milk
Galaxy Minstrels Pouch Bag - Mars - 125 g,chocolates,5.6 g,69 g,68 g,13 g,?,0.208 g,Nutri-Score E,"Allergens: Milk, Soybeans"
caobel -,chocolates,+48%,-100%,+633%,+52%,-100%,-53%,Green-Score F,"Allergens: Milk, Soybeans"
Milk chocolate Rice cakes - Tesco - 105 g,chocolates,7.2 g,63.1 g,30.1 g,13 g,3.1 g,0.1 g,Average impact of products of the same category: B (Score: 64/100),"Allergens: Milk, Soybeans"
Mint - Aldi - 5 x 25 g,chocolates,5.8 g,50.6 g,49 g,20.9 g,7.4 g,?,Average impact of products of the same category: D (Score: 35/100),Allergens: Soybeans
Napolitain l'original - LU - 12 x 30g,chocolates,4.4 g,59 g,33 g,8.9 g,1.9 g,0.26 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Protein Pudding Chocolate Flavour - YoPRO - 180 g,chocolates,10.2 g,6.3 g,4.8 g,1.2 g,-,0.26 g,Nutri-Score A,Allergens: Milk
Hacendado,chocolates,3.4 g,18 g,16 g,0.6 g,2 g,0.11 g,Green-Score A,Allergens: Soybeans
Food in a Bottle Schoko - Milbona - 500 ml,chocolates,7 g,7 g,4.3 g,1.9 g,1.8 g,0.128 g,Nutri-Score B,Allergens: Milk
Crunchy Hazelnut Chocolate Spread - Bonne Maman - 250g,chocolates,7.3 g,51 g,48 g,5.1 g,3.7 g,?,Green-Score C,Allergens: Milk
Eat Natural Dark Chocolate With Cranberries And Macadamias - 3 x 40 g,chocolates,4.25 g,52.5 g,35.5 g,17.8 g,7.5 g,0.025 g,Nutri-Score E,"Allergens: Nuts, Soybeans"
No Added Sugar Smooth Dark Chocolate - Sainsbury's,chocolates,8 g,34 g,12 g,27 g,11 g,0 g,Nutri-Score D,"Allergens: Nuts, Soybeans"
Chocolate 2% Reduced Fat - Fairlife - 52 fl oz,chocolates,5.21 g,5.21 g,4.81 g,1.2 g,0.401 g,0.28 g,Nutri-Score C,Allergens: Milk
Chocolate 52% especial postres - Carrefour BIO - 200 g,chocolates,6 g,52 g,49 g,20 g,7.6 g,0.02 g,Green-Score C,Allergens: None
Choco Ballz - Carrefour - 375 g,chocolates,8.7 g,77 g,22 g,1 g,7.5 g,0.42 g,Nutri-Score C,Allergens: Gluten
Super poulain - 1000 g,chocolates,3.27 g,12.16 g,11.9 g,1.01 g,4.6 g,0.11 g,Average impact of products of the same category: C (Score: 54/100),Allergens: Soybeans
Lindt Lindor Melkesjokolade Stick 38g - LINDT & SPRÜNGLI (NORDIC NUF ),chocolates,5.53 g,46.1 g,45 g,32.9 g,?,0.191 g,Nutri-Score E,"Allergens: Gluten, Milk, Soybeans"
Bahlsen - 125g,chocolates,7.5 g,61 g,41 g,16 g,3.2 g,0.64 g,Green-Score B,"Allergens: Eggs, Gluten, Milk, Nuts, Soybeans"
Cereali Spec. k. cio / Fon. gr290 - Special K - 290 g,chocolates,8.2 g,81 g,17 g,3.2 g,6 g,0.8 g,Average impact of products of the same category: C (Score: 45/100),"Allergens: Gluten, Milk, Soybeans"
"M&M's - 90 g,",chocolates,10 g,58 g,53 g,11 g,0 g,0.1 g,Green-Score E,"Allergens: Milk, Peanuts, Soybeans"
Classic Collection Chocolate Bars - Green & Blacks - 180 g,chocolates,9.1 g,45 g,41 g,20 g,5.7 g,0.16 g,Nutri-Score E,"Allergens: Milk, Nuts, Soybeans"
2 Cookies Sensations Coeur Choco - Milka - 26g x2,chocolates,4.5 g,62 g,39 g,13 g,1.7 g,0.89 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Nesquik Plus 250G - Nestlé - 250 g,chocolates,-14%,+25%,+37%,-33%,+23%,-100%,Average impact of products of the same category: C (Score: 54/100),Allergens: Soybeans
Milk Chocolate Spread - Jim Jams - 350g,chocolates,5.8 g,50.8 g,10.1 g,7.6 g,?,0.28 g,Green-Score D,Allergens: Milk
Kirkland Chocolate Chip Soft & Chewy Granola bar - costco - 24 g,chocolates,4.17 g,75 g,29.2 g,0 g,4.17 g,0.365 g,Nutri-Score D,"Allergens: Gluten, Milk, Soybeans"
Instant Hot Chocolate - Galaxy - 370g,chocolates,5.2 g,72 g,64 g,7.6 g,?,1.22 g,Green-Score B,"Allergens: Milk, Soybeans"
"Choco Negro - Hacendado - 150 g (4 x 37,5 g)",chocolates,6 g,64 g,34 g,15 g,4.3 g,0.35 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans"
Hot chocolate - MediKills - 45p g,chocolates,6.3 g,76 g,73 g,4.1 g,9.3 g,0.38 g,Green-Score A,"Allergens: Gluten, Milk, Soybeans"
Copa de Chocolate y Nata - Milbona - 200 g,chocolates,3.1 g,15.7 g,13 g,1.8 g,?,0.325 g,Nutri-Score C,"Allergens: Beef, Gluten, Milk"
hanuta Riegel - 34.5g,chocolates,7.6 g,48.2 g,39.5 g,19.8 g,0 g,0.267 g,Green-Score C,"Allergens: Gluten, Milk, Nuts, Soybeans"
Brownies with Chocolate Candies - Jr. Brownie - 200g,chocolates,6.5 g,48 g,37 g,3.6 g,1.2 g,0.42 g,Green-Score E,"Allergens: Eggs, Gluten, Milk, Soybeans"
Nocilla chocoleche - 360g,chocolates,4.2 g,60 g,59 g,2.7 g,1.8 g,0.14 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Instant Hot Chocolate - Choceur - 400 g,chocolates,7.6 g,72 g,61 g,6.2 g,4.4 g,0.78 g,Green-Score A+,Allergens: Milk
Chocolate Sauce Topping - Askeys - 325 g,chocolates,1.7 g,74 g,70 g,0.6 g,?,0.06 g,Average impact of products of the same category: B (Score: 65/100),Allergens: Milk
Dark 85% cacao - Nestlé - 120 g,chocolates,9 g,33 g,26.5 g,26.8 g,10.9 g,< 0.01 g,Green-Score D,Allergens: Milk
Toffee Cream Chocolate - Milka - 100 g,chocolates,4.6 g,56 g,52 g,18 g,1 g,0.41 g,Green-Score E,"Allergens: Milk, Soybeans"
Céréales Muesli floconneux chocolat noir et graines de courge 375g - U - 375 g,chocolates,14 g,50 g,3.9 g,4.2 g,12 g,0.03 g,Nutri-Score A,Allergens: Gluten
Les Pyrénéens - Lindt - 175 g e,chocolates,4.2 g,34 g,33 g,42 g,0 g,0.16 g,Nutri-Score E,"Allergens: Milk, Nuts, Soybeans"
Schokolade Edelbitter 90% Kakao - dm Bio - 100 g,chocolates,+31%,-53%,-62%,+24%,+34%,-43%,Processed foods,"Allergens: Milk, Nuts, Soybeans"
Nestle Lion Triple Crunchy 550g - 550 g,chocolates,7.4 g,72.3 g,23.8 g,1.4 g,6.4 g,0.66 g,Green-Score D,"Allergens: Gluten, Milk"
Milka,chocolates,?,?,?,?,?,?,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk"
Chocolate negro 55% almedras - Hacendado - 200 g,chocolates,10 g,36 g,34 g,17 g,9.7 g,0.01 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Nuts, Soybeans"
Spécial flakes chocolat noir - Lidl - 425 g,chocolates,8.3 g,72 g,16 g,3 g,7.5 g,0.425 g,Nutri-Score C,"Allergens: Gluten, Milk"
celebrations,chocolates,?,?,?,?,?,?,Nutri-Score E,"Allergens: Eggs, Gluten, Milk, Peanuts, Soybeans"
Cadbury Brunch Choc Chip - 5 x 28g (140g),chocolates,6.2 g,65 g,28 g,8.5 g,4.5 g,0.52 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans"
Hershey's Syrup Chocolate - 24 oz (1 lb 8 oz) 680 g,chocolates,0 g,57.9 g,52.6 g,0 g,5.26 g,0.132 g,Average impact of products of the same category: B (Score: 65/100),"Allergens: Gluten, Milk, Soybeans"
Healthy Grains Clusters Dark Chocolate Protein - Kind,chocolates,16.7 g,60 g,10 g,1.67 g,6.67 g,0.542 g,Nutri-Score A,"Allergens: Gluten, Soybeans"
"White chocolate with coconut flakes and cornflakes, coconut flakes and cornflakes - Bellarom - 200 g",chocolates,6.9 g,47.9 g,42.1 g,28 g,2.9 g,0.47 g,Green-Score C,"Allergens: Gluten, Milk"
Pâte à tartiner aux noisettes - Tartichoc - 750 g,chocolates,5.8 g,55 g,53 g,6 g,4.2 g,0.1 g,Green-Score D,"Allergens: Milk, Nuts"
Tronche de cake chocolat - St Michel - 175 g,chocolates,5.7 g,53 g,31 g,5.2 g,2 g,0.35 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Nuts, Soybeans"
Chocolune - Grillon d'or - 375 g,chocolates,10 g,70 g,19 g,1.8 g,2.7 g,0.46 g,Processed foods,Allergens: Gluten
Cookies🍪 et nougatine - Carrefour - 200 g,chocolates,5.5 g,62 g,33 g,11 g,3.3 g,1.3 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Eggs, Gluten, Milk, Nuts, Soybeans"
kinder country - Ferrero - 23.5g,chocolates,8.6 g,54.9 g,49.1 g,21.9 g,?,0.28 g,Average impact of products of the same category: C (Score: 56/100),"Allergens: Gluten, Milk, Soybeans"
Twirl - Cadbury - 43g,chocolates,7 g,58 g,58 g,17 g,2.3 g,0.05 g,Green-Score E,Allergens: Milk
Chocolate - Agros - 200 ml,chocolates,3.4 g,9.3 g,9.2 g,0.8 g,0.5 g,0.13 g,Nutri-Score C,Allergens: Milk
White chocolate almond - Barebells - 55 g,chocolates,36 g,29 g,2.2 g,6.5 g,7 g,?,Nutri-Score not-applicable,"Allergens: Gluten, Milk, Nuts, Peanuts, Soybeans"
Noir aux Pépites de Café - Villars - 100 g,chocolates,4.6 g,50 g,45 g,20 g,6.7 g,0.03 g,Green-Score C,Allergens: Milk
Assortiment Lindor - Lindt - 337 g e,chocolates,4.5 g,43 g,42 g,35 g,0 g,0.17 g,Nutri-Score E,"Allergens: Gluten, Milk, Nuts, Soybeans"
ColaCao - 300 g,chocolates,3.7 g,7.1 g,4.8 g,0.4 g,2.5 g,0.13 g,Nutri-Score C,"Allergens: Gluten, Soybeans"
Vitalday Sandwich de Avena con Chocolate - Gullón - 220 g,chocolates,7.2 g,61 g,25 g,2.5 g,9 g,0.43 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, es:avena"
Breakfast 5 cereales chocolate - Florbú - 340g,chocolates,7.6 g,67 g,4.4 g,3.6 g,4.9 g,0.65 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Tortitas de arroz con chocolate blanco y trocitos de fresa frambuesa y mora - Bicentury,chocolates,7.1 g,70 g,28 g,11 g,?,0.13 g,Average impact of products of the same category: B (Score: 64/100),"Allergens: Gluten, Milk, Soybeans"
Chocolate mousse - Bonne Maman - 140g,chocolates,3.6 g,18.8 g,18 g,14 g,0.8 g,0.1 g,Nutri-Score D,"Allergens: Milk, Milk, Milk, Milk"
Glace - Nestlé - 272 g,chocolates,3.8 g,38 g,30 g,12 g,0.8 g,0.28 g,Green-Score A+,"Allergens: Milk, Nuts, Soybeans"
Chocolate salted caramel vitamin & protein bar - fulfil - 40 g,chocolates,37 g,29 g,2.6 g,8.8 g,4.7 g,0.63 g,Nutri-Score D,"Allergens: Milk, Nuts, Soybeans"
Intenso 80% noir - Trapa - 175 g,chocolates,10 g,26 g,21 g,27 g,?,0.06 g,Average impact of products of the same category: D (Score: 35/100),Allergens: Soybeans
Barquillos Avellana - Hacendado - 250 g,chocolates,6 g,62.5 g,38 g,23.9 g,?,0.355 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Dark Chocolate No Sugar Added - Fin Carré - 100 g,chocolates,8.2 g,34.3 g,1.2 g,26.9 g,-,0.03 g,Nutri-Score D,"Allergens: Eggs, Milk, Peanuts"
Chocolate con leche 0% azúcar añadido - Fin Carré - 100 g,chocolates,5.4 g,52.4 g,9.7 g,23.4 g,-,0.2 g,Green-Score C,"Allergens: Milk, Milk"
Filipinos With Real White Chocolate imp - Artiach - 128 g,chocolates,6.6 g,64 g,38 g,14 g,2.8 g,0.55 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Côte d’Or Noir de Noir - 300 g,chocolates,-42%,-,+8%,+47%,+30%,-91%,Nutri-Score E,Allergens: Gluten
M&M's - MARS WRIGLEY CONFECTIONERY - 600g,chocolates,9.8 g,59 g,53 g,11 g,?,0.11 g,Average impact of products of the same category: D (Score: 42/100),"Allergens: Milk, Peanuts, Soybeans"
Choco Sensations - Milka - 208g et 8 biscuits,chocolates,4.5 g,62 g,39 g,13 g,1.6 g,2.225 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Chocolat noir 99% - Biocoop - 90 g,chocolates,12 g,7 g,0.9 g,34 g,24 g,0.01 g,Processed foods,"Allergens: Gluten, Milk, Soybeans"
Dr. Oetker,chocolates,,,,,,,Green-Score D,Allergens: Soybeans
"Mini Almond - Magnum - 265,8 g",chocolates,3.82 g,25.5 g,23.6 g,10.5 g,?,0.109 g,Green-Score A+,"Allergens: Milk, Nuts"
Rondino whiye - it,chocolates,0.6 g,55.8 g,29.7 g,12.6 g,?,0.3 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Milk, Nuts"
3337871330286,chocolates,,,,,,,Average impact of products of the same category: C (Score: 57/100),"Allergens: Milk, Nuts"
NESTLE DESSERT noir 80% 170g - 170 g,chocolates,10.4 g,24.1 g,16.2 g,29.8 g,12.9 g,0.01 g,Nutri-Score D,Allergens: Milk
Dark Chocolate with Raspberry - Marks And Spencer,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Nutri-Score E,Allergens: Milk
EN001494 - Familia - 350 g,chocolates,6.1 g,54 g,53 g,3.9 g,3.7 g,0.11 g,Green-Score D,"Allergens: Milk, Nuts, Soybeans"
Muesli Bars Chocolate & Banana - Crownfield - 200 g,chocolates,6.8 g,65.6 g,31.6 g,7.2 g,4 g,0.28 g,Green-Score A,"Allergens: Gluten, Milk, Nuts, Peanuts"
Petit Beurre Tablette Chocolat au lait - Sondey - 150 g e,chocolates,7.3 g,64 g,34 g,15 g,1.4 g,0.48 g,Green-Score B,"Allergens: Gluten, Milk, Soybeans"
Cookie Island milk chocolate - Sondey - 225 g,chocolates,8 g,62.5 g,32.6 g,14.3 g,3.6 g,0.6 g,Green-Score D,"Allergens: Gluten, Milk, it:crema, it:emulsionante, it:sciroppo-di-glucosio"
Petit pot de creme au chocolat noir - Nestlé - 400 g e (4 * 100 g),chocolates,5 g,16.8 g,15.8 g,5.3 g,3.1 g,0.15 g,Green-Score B,"Allergens: Eggs, Milk, Soybeans"
GALAK Chocolat Blanc - Nestlé - 100 g,chocolates,5.3 g,59.6 g,59.4 g,19.5 g,0.5 g,0.28 g,Green-Score D,Allergens: Milk
Excellence Mint Intense Dark - Lindt - 100 g,chocolates,6 g,52 g,47 g,19 g,?,0.088 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Milk, Soybeans"
Tablette petit beurre au chocolat noir bio paquet de 150g - U - 150 g,chocolates,7.2 g,61 g,33 g,15 g,3.1 g,0.46 g,Green-Score C,"Allergens: Gluten, Milk"
Cookies with chocolate chips & hazelnuts - Carrefour - 200 g,chocolates,6.5 g,55 g,33 g,12 g,3.5 g,0.99 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Eggs, Gluten, Milk, Nuts, Soybeans"
Chupa chups flavored lollipops - 12g,chocolates,-50%,+10%,+22%,-80%,,+87%,Average impact of products of the same category: A (Score: 87/100),"Allergens: Apple, Banana, Gluten, Kiwi, Milk, Orange, Peach"
M&Ms - Mars - 900 g,chocolates,10 g,58 g,53 g,11 g,?,0.1 g,Average impact of products of the same category: D (Score: 42/100),"Allergens: Milk, Peanuts, Soybeans"
McVitie's Hobnobs Milk Choc Jumbo Pack - 431g,chocolates,7.1 g,60.8 g,33 g,11.5 g,?,0.74 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Chocolate Peanut & Caramel Flavour Protein Bar - Fulfil - 55 g,chocolates,35.5 g,28.2 g,3.82 g,8 g,6.91 g,0.695 g,Nutri-Score not-applicable,"Allergens: Eggs, Gluten, Milk, Peanuts, Soybeans"
"Alpro Soja-Dessert Dunkle Schokolade Feinherb, 4 x 125 g, 43 - DANONE AS - 0.5 kg",chocolates,3.1 g,14.7 g,11.8 g,0.8 g,1.5 g,0.14 g,Green-Score A+,Allergens: Soybeans
Cécémel - 1 L,chocolates,3.4 g,11.7 g,11.5 g,1.9 g,-,0.11 g,Green-Score C,Allergens: Milk
Baton crema rom - 30g,chocolates,3.7 g,60.8 g,55.1 g,8 g,1.5 g,0.01 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Milk, Soybeans, fr:lapte"
KitKat 2 finger - One,chocolates,7.91 g,59.887 g,45.763 g,13.559 g,?,0.141 g,Nutri-Score E,"Allergens: Milk, Soybeans, fr:lapte"
"Original family format - Oreo - 308 g ℮, 2 pacchetti da 14 biscotti 11 g l'uno",chocolates,5.4 g,68 g,38 g,5.2 g,2.7 g,0.74 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
belVita - 50 g,chocolates,7.7 g,65 g,26 g,3.6 g,6.9 g,0.59 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Nuts, Soybeans"
Côte d'or - 100 g,chocolates,8.5 g,18 g,13 g,35 g,13 g,0.02 g,Nutri-Score D,"Allergens: Milk, Soybeans"
Ciobar - Dr. Oetker - 125g,chocolates,4.3 g,19 g,15 g,1.2 g,?,0.18 g,Average impact of products of the same category: C (Score: 54/100),"Allergens: Milk, Soybeans"
Haselmuss Törtchen Waffeln mit Kakao-Haselnusscreme - Manner - 400 g,chocolates,4.8 g,62 g,45 g,20 g,?,0.1 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Choco fundir negro - Hacendado - 200 g,chocolates,5.8 g,48 g,45 g,20 g,8.5 g,0.1 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Dark 75% madagascar ginger & turmeric - Waitrose,chocolates,8.3 g,38.5 g,31.2 g,24.4 g,9.2 g,0.02 g,Processed foods,"Allergens: Gluten, Milk, Nuts, Soybeans"
2 peanut butter cups - Reese's - 42 g,chocolates,11.9 g,57.1 g,52.4 g,0 g,4.76 g,0.804 g,Nutri-Score E,"Allergens: Milk, Peanuts, Soybeans"
Notre mousse au chocolat - Agrial - 300 g (4x75g),chocolates,2 g,18 g,18 g,6.3 g,?,0.1 g,Green-Score C,Allergens: Milk
Half-Coated Milk Chocolate Cookies - Fox's - 34,chocolates,5.6 g,62.7 g,34.3 g,13.3 g,1.9 g,0.42 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans, Oatmeal"
Oat velvet chocolate - Quaker,chocolates,9.8 g,65 g,19 g,2 g,?,0.27 g,Average impact of products of the same category: C (Score: 45/100),"Allergens: Gluten, Milk, Soybeans, Oatmeal"
Chocolate & Topping with Protein - Ehrmann - 200 gram,chocolates,10 g,5 g,4 g,1.6 g,?,0.118 g,Nutri-Score A,Allergens: Milk
Carrés Dégustation - Lindt - 154 g,chocolates,10 g,31 g,23 g,25 g,?,0.08 g,Processed foods,Allergens: Milk
Dairy Milk Marvellous Creations Jelly Popping Candy - Cadbury - 160g,chocolates,6.3 g,60 g,15.486 g,4.005 g,0.507 g,0.056 g,Nutri-Score D,"Allergens: Milk, Soybeans"
Tony's chocolonely milk creamy,chocolates,8.3 g,48 g,44 g,17 g,?,0.23 g,Average impact of products of the same category: D (Score: 39/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Salted dark chocolate almonds - Forest Feast,chocolates,12 g,31 g,28 g,?,7.6 g,?,Green-Score E,"Allergens: Nuts, Soybeans"
Hazelnut Dark Chocolate - Moser Roth - 5 x 25 g,chocolates,-7%,+13%,+37%,-17%,-46%,-65%,Green-Score D,"Allergens: Nuts, Soybeans"
Magnum Mini Classic - 254 g,chocolates,2.6 g,24 g,21 g,11 g,?,0.09 g,Green-Score A+,Allergens: Milk
Glaçe - Magnum - 300 g,chocolates,2.5 g,23 g,20 g,9.8 g,?,0.09 g,Green-Score A,Allergens: Milk
Protein puding - Zott,chocolates,10 g,5 g,4.6 g,1 g,?,0.188 g,Nutri-Score A,Allergens: Milk
Toffifee - Storck,chocolates,6 g,58.9 g,48.8 g,12.7 g,?,0.27 g,Nutri-Score E,"Allergens: Milk, Peanuts"
Schokocreme Nuss-Nougat - dm Bio - 400 g,chocolates,4.9 g,51 g,48 g,7.5 g,4.3 g,0.02 g,Green-Score C,"Allergens: Nuts, Soybeans"
Creamy milk chocolate - NOOCO,chocolates,,,,,,,Average impact of products of the same category: D (Score: 39/100),"Allergens: Milk, Soybeans"
